name,meContextModelVersion,cppVersion,erbsVersion,erbsConnectivityInfoModelVersion,ipAddress
LTE07ERBS00151,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.188
LTE07ERBS00152,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.189
LTE07ERBS00155,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.192
LTE07ERBS00160,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.197
LTE01ERBS00103,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.102
LTE01ERBS00104,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.103
LTE01ERBS00105,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.104
LTE01ERBS00106,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.105
LTE07ERBS00158,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.195
LTE07ERBS00157,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.194
LTE07ERBS00159,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.196
LTE07ERBS00156,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.193
LTE07ERBS00153,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.190
LTE07ERBS00154,1.1.0,13.112.4,4.1.189,1.0.0,10.240.180.191
LTE01ERBS00101,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.100
LTE01ERBS00102,1.1.0,13.112.4,4.1.189,1.0.0,10.240.176.101